                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64451,                 1.1545,                 1.0205,                0.64233,                0.74155,                0.67887,                0.53858,                 0.6933,                 1.1018,                0.96177,              0.0033133,              0.0033133,              0.0033133
                      2,                0.62966,                 0.7771,                0.97653,                0.72005,                0.67253,                0.73798,                0.59191,                0.69754,                 0.9481,                0.95409,              0.0066372,              0.0066372,              0.0066372
                      3,                0.68669,                0.81381,                0.97641,                0.73489,                0.76165,                0.75074,                0.58662,                0.76229,                0.86694,                0.97605,              0.0099517,              0.0099517,              0.0099517
                      4,                0.72489,                0.84711,                 1.0037,                 0.5461,                0.75302,                0.63306,                0.48548,                 0.8544,                 1.5685,                 1.0172,              0.0099576,              0.0099576,              0.0099576
                      5,                0.72899,                0.78289,                 1.0118,                0.62149,                0.74164,                0.69872,                0.54513,                0.78727,                 1.0511,                0.98592,              0.0099434,              0.0099434,              0.0099434
                      6,                0.71089,                0.79121,                 1.0009,                0.67886,                0.79909,                0.77782,                0.61254,                 0.7527,                0.84819,                0.99842,              0.0099293,              0.0099293,              0.0099293
                      7,                0.69838,                 0.7827,                 1.0073,                0.67592,                0.75817,                 0.7511,                0.60152,                0.74472,                0.95147,                0.97167,              0.0099151,              0.0099151,              0.0099151
                      8,                0.70118,                0.72531,                 1.0056,                0.68084,                0.76872,                0.77144,                0.60713,                0.75786,                0.89344,                 1.0013,               0.009901,               0.009901,               0.009901
                      9,                0.69089,                0.74124,                 0.9908,                0.69392,                0.70954,                0.70481,                0.55068,                0.81005,                 1.0887,                 1.0388,              0.0098869,              0.0098869,              0.0098869
                     10,                0.67646,                0.69396,                0.99632,                0.68957,                0.78865,                 0.7565,                0.59947,                0.72791,                0.83745,                0.95505,              0.0098727,              0.0098727,              0.0098727
                     11,                0.67675,                0.70756,                0.99289,                  0.718,                0.84601,                0.83137,                 0.6718,                0.69137,                0.73468,                0.95152,              0.0098586,              0.0098586,              0.0098586
                     12,                0.66923,                0.68685,                0.98313,                0.71231,                 0.7337,                0.73676,                 0.5919,                0.72263,                0.98298,                0.97732,              0.0098444,              0.0098444,              0.0098444
                     13,                0.66902,                0.68025,                0.98897,                0.73136,                  0.748,                0.77424,                0.62785,                0.70274,                 0.8403,                0.96858,              0.0098303,              0.0098303,              0.0098303
                     14,                0.62971,                0.63992,                0.98077,                0.68317,                0.80193,                0.77652,                 0.6068,                0.76733,                0.82476,                 1.0161,              0.0098161,              0.0098161,              0.0098161
                     15,                0.64539,                0.66584,                0.97577,                0.67886,                0.81703,                0.78438,                0.64077,                 0.6768,                0.91703,                 0.9516,               0.009802,               0.009802,               0.009802
                     16,                 0.6445,                0.66267,                0.97679,                0.73896,                0.78807,                0.81694,                0.66911,                  0.663,                0.74018,                0.95085,              0.0097879,              0.0097879,              0.0097879
                     17,                0.63821,                0.64173,                0.97689,                0.73731,                0.77456,                0.82255,                0.67269,                0.65554,                0.71205,                0.93241,              0.0097737,              0.0097737,              0.0097737
                     18,                0.63712,                0.62318,                0.97267,                0.71428,                0.83635,                0.82355,                0.68649,                0.64994,                0.70613,                0.94976,              0.0097596,              0.0097596,              0.0097596
                     19,                0.62464,                 0.6117,                0.97195,                0.77926,                0.76932,                0.83881,                0.69133,                0.64203,                0.68343,                 0.9482,              0.0097454,              0.0097454,              0.0097454
                     20,                0.60919,                0.61343,                0.96967,                0.76419,                0.77299,                0.83078,                0.68957,                0.64503,                0.68649,                0.93942,              0.0097313,              0.0097313,              0.0097313
                     21,                0.61608,                0.60403,                0.96266,                0.74462,                0.79232,                0.83177,                0.69515,                0.65274,                0.68619,                0.93325,              0.0097171,              0.0097171,              0.0097171
                     22,                0.61815,                 0.6099,                 0.9624,                0.76383,                0.82971,                0.83449,                0.69254,                0.64278,                0.73125,                0.93403,               0.009703,               0.009703,               0.009703
                     23,                0.60112,                0.58733,                0.95624,                0.74514,                  0.843,                0.85443,                0.69894,                0.63782,                0.65618,                0.93867,              0.0096889,              0.0096889,              0.0096889
                     24,                0.58742,                0.59164,                0.95877,                0.77516,                0.82232,                0.84181,                0.69874,                0.63359,                0.71351,                0.93505,              0.0096747,              0.0096747,              0.0096747
                     25,                0.61106,                 0.6018,                0.96931,                0.70844,                  0.843,                0.84881,                0.70034,                0.64503,                0.70194,                0.94851,              0.0096606,              0.0096606,              0.0096606
                     26,                0.60534,                0.58078,                0.96079,                 0.7979,                0.77247,                0.85184,                0.70612,                0.63304,                0.64494,                0.92251,              0.0096464,              0.0096464,              0.0096464
                     27,                0.60578,                0.58021,                0.95235,                0.77715,                0.76023,                 0.8314,                0.68499,                0.65252,                0.69578,                0.93325,              0.0096323,              0.0096323,              0.0096323
                     28,                0.59596,                0.56731,                0.95896,                0.76256,                0.80616,                0.85698,                0.71384,                0.61618,                0.66734,                0.92794,              0.0096181,              0.0096181,              0.0096181
                     29,                 0.5938,                0.57524,                0.95323,                0.76268,                0.78208,                0.85758,                0.71464,                0.61296,                0.66865,                0.91915,               0.009604,               0.009604,               0.009604
                     30,                0.58827,                0.56172,                0.95733,                0.78585,                 0.8066,                 0.8603,                0.71616,                0.62107,                0.63041,                0.92374,              0.0095899,              0.0095899,              0.0095899
                     31,                0.58453,                0.54956,                0.95453,                0.76813,                0.83333,                0.86437,                   0.72,                0.61627,                 0.6141,                0.92849,              0.0095757,              0.0095757,              0.0095757
                     32,                0.58979,                0.55125,                 0.9568,                0.77703,                0.82065,                0.86448,                0.72199,                0.61458,                0.61653,                0.92607,              0.0095616,              0.0095616,              0.0095616
                     33,                0.57917,                0.54044,                0.95206,                0.78424,                0.80797,                 0.8532,                0.71397,                0.61957,                0.63962,                0.92737,              0.0095474,              0.0095474,              0.0095474
                     34,                0.58093,                0.54877,                0.94956,                 0.7903,                0.83152,                0.86369,                0.72954,                 0.6069,                 0.6152,                0.92283,              0.0095333,              0.0095333,              0.0095333
                     35,                0.58087,                0.55454,                0.94505,                0.81193,                0.82307,                0.86868,                0.73091,                0.61204,                0.63231,                0.91429,              0.0095191,              0.0095191,              0.0095191
                     36,                0.58371,                0.54286,                0.95239,                0.77235,                0.82768,                0.86746,                0.73174,                0.60793,                0.62086,                0.92641,               0.009505,               0.009505,               0.009505
