                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0079,                 1.5145,                 1.1637,                0.66126,                0.67427,                0.68496,                0.50599,                 0.8949,                 1.2827,                 1.0515,              0.0033133,              0.0033133,              0.0033133
                      2,                0.74571,                0.89537,                  1.001,                0.65231,                0.68656,                0.67515,                0.52722,                0.83766,                 1.1731,                0.99838,              0.0066372,              0.0066372,              0.0066372
                      3,                 0.7627,                 0.8931,                 0.9954,                0.65044,                0.74497,                 0.6732,                 0.5085,                0.84522,                 1.0841,                 1.0203,              0.0099517,              0.0099517,              0.0099517
                      4,                 0.7941,                0.89597,                 1.0176,                0.63311,                0.79046,                0.71935,                0.54548,                 0.8509,                 1.2056,                  1.029,              0.0099576,              0.0099576,              0.0099576
                      5,                0.77218,                0.81957,                 1.0166,                0.67121,                0.75966,                  0.732,                0.56671,                   0.81,                0.98346,                0.98596,              0.0099434,              0.0099434,              0.0099434
                      6,                0.74132,                0.82877,                 1.0043,                0.70715,                0.77864,                0.76424,                0.58935,                0.79787,                0.85848,                      1,              0.0099293,              0.0099293,              0.0099293
                      7,                0.73369,                0.80117,                 1.0041,                0.69656,                0.76329,                0.76849,                0.59255,                0.77553,                0.89715,                0.95984,              0.0099151,              0.0099151,              0.0099151
                      8,                0.72566,                0.75634,                0.99911,                0.69832,                 0.8289,                0.80579,                0.65485,                0.69303,                0.84552,                0.94221,               0.009901,               0.009901,               0.009901
                      9,                 0.7139,                0.75611,                0.98772,                0.71896,                0.78019,                0.79234,                0.62802,                0.72966,                0.80261,                0.96408,              0.0098869,              0.0098869,              0.0098869
                     10,                0.69526,                 0.7108,                0.99015,                0.70087,                0.82065,                0.78711,                0.62834,                0.71809,                0.79167,                0.95429,              0.0098727,              0.0098727,              0.0098727
                     11,                  0.692,                0.72051,                0.98546,                 0.6458,                0.76631,                0.72728,                0.58286,                0.72346,                 1.0373,                0.95002,              0.0098586,              0.0098586,              0.0098586
                     12,                0.68871,                0.69714,                0.98003,                0.69972,                0.80978,                0.80388,                0.64782,                0.71791,                0.78336,                0.94884,              0.0098444,              0.0098444,              0.0098444
                     13,                0.67994,                0.69911,                0.97935,                0.68528,                0.81391,                0.79393,                0.65119,                0.68465,                0.77571,                0.93469,              0.0098303,              0.0098303,              0.0098303
                     14,                0.64737,                0.66013,                0.97606,                0.73644,                0.82005,                0.82971,                0.66869,                0.68134,                0.78618,                0.94917,              0.0098161,              0.0098161,              0.0098161
                     15,                0.65673,                0.68025,                0.97172,                0.70342,                0.73671,                0.77947,                0.61653,                0.70435,                0.85711,                0.96964,               0.009802,               0.009802,               0.009802
                     16,                0.65747,                0.67048,                0.97534,                0.74434,                0.81461,                0.83655,                0.68177,                0.67308,                0.71563,                0.93064,              0.0097879,              0.0097879,              0.0097879
                     17,                0.64549,                0.65211,                0.96707,                0.76744,                0.82488,                0.83441,                0.67595,                0.68322,                0.70204,                 0.9425,              0.0097737,              0.0097737,              0.0097737
                     18,                0.65265,                0.66034,                0.96729,                0.73956,                0.86083,                0.85923,                0.70226,                0.66731,                0.69017,                0.92813,              0.0097596,              0.0097596,              0.0097596
                     19,                0.63509,                0.63263,                0.96325,                0.75472,                0.76738,                0.82342,                0.67758,                 0.6671,                0.73611,                0.94072,              0.0097454,              0.0097454,              0.0097454
                     20,                0.62288,                0.63858,                0.96613,                0.77236,                0.77859,                0.83174,                0.68616,                0.66183,                0.68181,                0.92915,              0.0097313,              0.0097313,              0.0097313
                     21,                0.63219,                0.62564,                0.96018,                0.76126,                0.76636,                0.82504,                0.68126,                0.65228,                 0.6973,                0.93403,              0.0097171,              0.0097171,              0.0097171
                     22,                0.62701,                0.62464,                0.95734,                0.75581,                0.80857,                0.85453,                0.70973,                0.63328,                0.71727,                0.91857,               0.009703,               0.009703,               0.009703
                     23,                 0.6126,                0.60948,                0.95427,                0.78496,                0.78563,                0.83483,                 0.6797,                0.66441,                0.68974,                0.93623,              0.0096889,              0.0096889,              0.0096889
                     24,                0.59659,                0.60442,                0.94837,                0.74606,                0.84978,                0.84606,                0.70647,                0.62734,                0.67689,                0.91997,              0.0096747,              0.0096747,              0.0096747
