                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4452,                 3.6939,                 4.0543,                0.14882,                0.06522,                0.02962,                0.00883,                 3.3796,                 3.7952,                 3.8934,              0.0033133,              0.0033133,              0.0033133
                      2,                 2.7788,                 2.8524,                  3.412,                0.07913,                0.01872,                0.01027,                0.00304,                 2.9099,                 3.8364,                 3.8239,              0.0066372,              0.0066372,              0.0066372
                      3,                 1.9948,                 2.1317,                 2.5752,                0.30702,                0.20842,                0.17226,                0.07411,                 2.1104,                 2.7526,                 2.7646,              0.0099517,              0.0099517,              0.0099517
                      4,                 1.5339,                 1.7152,                 2.0141,                0.39893,                 0.4529,                 0.3295,                0.17503,                 1.6607,                 2.3944,                 2.1747,              0.0099576,              0.0099576,              0.0099576
                      5,                 1.3066,                 1.4227,                 1.7498,                0.48442,                0.45901,                0.41806,                0.28153,                 1.3634,                 1.8599,                 1.8218,              0.0099434,              0.0099434,              0.0099434
                      6,                 1.1783,                 1.2849,                 1.5974,                0.55674,                0.58454,                0.56245,                0.36943,                 1.1747,                 2.2724,                 1.6123,              0.0099293,              0.0099293,              0.0099293
                      7,                 1.0914,                 1.1936,                 1.4953,                0.60415,                0.59541,                0.57674,                0.41707,                 1.0827,                 1.4222,                 1.5309,              0.0099151,              0.0099151,              0.0099151
                      8,                 1.0369,                 1.0889,                 1.4392,                0.64126,                0.64553,                0.64801,                0.47543,                 1.0124,                 1.2549,                 1.4399,               0.009901,               0.009901,               0.009901
                      9,                0.99965,                 1.0583,                 1.3963,                0.61911,                0.62681,                0.60562,                0.44207,                 1.0314,                 1.3503,                 1.4337,              0.0098869,              0.0098869,              0.0098869
                     10,                0.94565,                0.96189,                 1.3533,                  0.649,                0.70232,                0.65297,                0.47115,                0.96254,                 1.1057,                 1.3795,              0.0098727,              0.0098727,              0.0098727
                     11,                0.92088,                0.98251,                 1.3279,                0.57304,                0.70917,                0.63657,                0.45635,                0.97899,                 1.9034,                 1.3713,              0.0098586,              0.0098586,              0.0098586
                     12,                0.89314,                0.93769,                 1.2966,                0.63804,                0.66184,                0.64514,                 0.4806,                0.97344,                 1.1887,                 1.3657,              0.0098444,              0.0098444,              0.0098444
                     13,                0.87314,                0.90849,                 1.2807,                0.66547,                0.74517,                0.71464,                0.53363,                0.89134,                 1.0175,                 1.2892,              0.0098303,              0.0098303,              0.0098303
                     14,                0.83732,                0.87267,                 1.2545,                0.66431,                0.75966,                 0.7135,                0.54213,                0.86199,                  1.071,                 1.2619,              0.0098161,              0.0098161,              0.0098161
                     15,                0.84069,                0.87312,                 1.2432,                0.69796,                0.72143,                0.73228,                0.55329,                0.88297,                0.98696,                 1.2601,               0.009802,               0.009802,               0.009802
                     16,                0.82835,                 0.8509,                 1.2212,                0.66865,                0.70312,                0.71782,                0.55248,                0.82398,                0.96137,                 1.2143,              0.0097879,              0.0097879,              0.0097879
                     17,                0.81802,                0.85444,                 1.2132,                0.68794,                0.73792,                0.75196,                0.58094,                 0.8059,                0.90845,                 1.2112,              0.0097737,              0.0097737,              0.0097737
                     18,                0.81602,                0.84194,                 1.2051,                0.70301,                0.68056,                 0.7483,                0.57072,                0.79896,                0.95617,                 1.1788,              0.0097596,              0.0097596,              0.0097596
                     19,                0.79625,                0.80799,                 1.1884,                0.71136,                0.73371,                0.75099,                0.58474,                0.82732,                0.92234,                 1.2107,              0.0097454,              0.0097454,              0.0097454
                     20,                0.77081,                0.81202,                 1.1881,                0.62457,                0.70022,                0.67906,                0.52095,                  0.818,                 1.2915,                  1.206,              0.0097313,              0.0097313,              0.0097313
                     21,                0.77857,                0.78585,                 1.1737,                0.69054,                0.71822,                0.74738,                0.58436,                0.78471,                0.92053,                 1.1654,              0.0097171,              0.0097171,              0.0097171
                     22,                0.77395,                0.80699,                 1.1736,                0.70352,                0.78502,                0.78391,                 0.6101,                0.76142,                0.92188,                 1.1479,               0.009703,               0.009703,               0.009703
                     23,                0.75415,                0.77346,                 1.1617,                0.67883,                0.75543,                0.75857,                 0.5923,                0.78279,                 0.8922,                 1.1712,              0.0096889,              0.0096889,              0.0096889
                     24,                0.72965,                0.76813,                 1.1505,                0.68732,                0.81703,                0.78069,                0.61799,                0.75324,                0.88173,                 1.1435,              0.0096747,              0.0096747,              0.0096747
                     25,                0.75269,                0.77578,                 1.1544,                0.67862,                0.77652,                0.76609,                0.58695,                0.80336,                0.87695,                 1.1824,              0.0096606,              0.0096606,              0.0096606
                     26,                0.74806,                0.76409,                 1.1509,                0.66294,                0.78983,                0.77113,                0.60534,                0.76909,                 0.9484,                 1.1514,              0.0096464,              0.0096464,              0.0096464
                     27,                0.74562,                 0.7564,                 1.1416,                0.70513,                0.79348,                0.79721,                0.62216,                0.76443,                0.82445,                 1.1374,              0.0096323,              0.0096323,              0.0096323
