                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4917,                 4.2134,                 4.1771,                0.02797,                 0.0465,                0.00573,                0.00165,                 3.4398,                 5.2939,                 4.2335,              0.0033133,              0.0033133,              0.0033133
                      2,                 2.4894,                 2.8853,                 3.3853,                0.24443,                0.01268,                0.01098,                0.00535,                 3.0991,                 4.0974,                 3.9998,              0.0066372,              0.0066372,              0.0066372
                      3,                  1.673,                 1.8639,                 2.2878,                0.56816,                0.29589,                0.31746,                0.19361,                 1.8637,                 2.4876,                 2.4584,              0.0099517,              0.0099517,              0.0099517
                      4,                 1.2731,                 1.4018,                 1.7625,                0.56511,                0.60185,                0.56296,                0.39072,                 1.1948,                 1.4846,                 1.7183,              0.0099576,              0.0099576,              0.0099576
                      5,                  1.077,                 1.1881,                 1.5504,                0.57537,                0.62267,                0.57804,                0.43377,                  1.081,                   1.28,                 1.5676,              0.0099434,              0.0099434,              0.0099434
                      6,                0.97155,                 1.1026,                 1.4266,                0.63249,                0.65888,                0.64192,                0.47862,                      1,                 1.1644,                 1.4861,              0.0099293,              0.0099293,              0.0099293
                      7,                0.92359,                 1.0269,                 1.3673,                0.60339,                0.63164,                 0.5872,                0.44679,                0.95107,                 1.2393,                 1.3944,              0.0099151,              0.0099151,              0.0099151
                      8,                 0.8956,                0.97723,                 1.3322,                 0.6184,                0.59601,                0.59895,                0.45861,                0.91318,                 1.2036,                 1.3679,               0.009901,               0.009901,               0.009901
                      9,                0.87944,                0.96855,                 1.3075,                0.63683,                0.72283,                0.70045,                0.53417,                0.85853,                0.98334,                 1.2978,              0.0098869,              0.0098869,              0.0098869
                     10,                0.83094,                0.88223,                 1.2732,                 0.6843,                0.70592,                0.70833,                0.54795,                0.83126,                 1.0132,                 1.2736,              0.0098727,              0.0098727,              0.0098727
                     11,                0.82569,                0.91582,                 1.2701,                0.56189,                0.70954,                0.62698,                 0.4822,                0.87222,                 1.2488,                 1.3084,              0.0098586,              0.0098586,              0.0098586
                     12,                0.81026,                0.87293,                  1.242,                0.65769,                0.72524,                0.73027,                0.57354,                0.81114,                0.94483,                 1.2399,              0.0098444,              0.0098444,              0.0098444
                     13,                0.80524,                0.85923,                 1.2403,                0.68656,                0.71256,                0.74628,                0.59557,                0.77297,                0.88324,                 1.2283,              0.0098303,              0.0098303,              0.0098303
                     14,                 0.7571,                0.82519,                 1.2145,                0.70564,                 0.7349,                0.74965,                0.59649,                0.75043,                0.89481,                 1.2025,              0.0098161,              0.0098161,              0.0098161
                     15,                0.77513,                0.83989,                 1.2103,                0.72065,                0.71035,                0.74934,                0.59751,                0.78361,                0.88937,                 1.2147,               0.009802,               0.009802,               0.009802
                     16,                0.76873,                 0.8246,                 1.2007,                0.64212,                0.76708,                0.72785,                0.58331,                 0.7655,                0.93188,                 1.2233,              0.0097879,              0.0097879,              0.0097879
                     17,                 0.7525,                0.81237,                 1.1889,                0.67807,                0.73007,                0.73922,                0.59418,                0.75091,                 0.9023,                 1.1889,              0.0097737,              0.0097737,              0.0097737
