                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4898,                 2.6494,                 3.4675,                0.74859,                0.30926,                0.46712,                0.19243,                 2.3347,                 2.9394,                  3.056,              0.0033133,              0.0033133,              0.0033133
                      2,                 1.2867,                 1.4236,                 2.0179,                0.67306,                0.72475,                0.72119,                 0.4734,                 1.1937,                 1.3494,                 1.7723,              0.0066372,              0.0066372,              0.0066372
                      3,                 1.0467,                 1.1298,                 1.5351,                0.67216,                0.75648,                0.70773,                 0.4913,                 0.9651,                 1.3606,                 1.4524,              0.0099517,              0.0099517,              0.0099517
                      4,                0.95271,                0.99173,                 1.3801,                0.64148,                 0.7506,                0.73004,                0.53909,                0.94259,                 1.0713,                 1.3685,              0.0099576,              0.0099576,              0.0099576
                      5,                0.85904,                0.87386,                 1.2913,                0.65472,                0.77415,                0.71866,                0.53429,                0.92659,                0.98916,                 1.3655,              0.0099434,              0.0099434,              0.0099434
                      6,                0.80593,                0.85495,                 1.2413,                0.72564,                0.77899,                 0.8078,                0.60447,                0.79804,                0.86708,                 1.2162,              0.0099293,              0.0099293,              0.0099293
                      7,                0.78451,                0.81537,                 1.2123,                0.71435,                0.75966,                0.77158,                0.58262,                0.85476,                0.99081,                  1.288,              0.0099151,              0.0099151,              0.0099151
                      8,                0.77147,                0.76696,                 1.2026,                0.70953,                0.81461,                0.79858,                0.62595,                0.76779,                0.82972,                  1.199,               0.009901,               0.009901,               0.009901
                      9,                0.76236,                0.77654,                 1.1879,                0.66945,                0.78261,                0.76058,                0.59973,                0.77692,                0.90255,                 1.2127,              0.0098869,              0.0098869,              0.0098869
                     10,                0.72268,                0.72033,                 1.1664,                0.73088,                 0.7506,                0.78242,                0.61408,                0.77231,                0.88329,                 1.2094,              0.0098727,              0.0098727,              0.0098727
                     11,                0.72329,                0.72795,                 1.1653,                  0.678,                 0.7947,                 0.7331,                 0.5756,                0.78032,                 0.8781,                 1.2018,              0.0098586,              0.0098586,              0.0098586
                     12,                0.71575,                0.71072,                 1.1553,                0.72977,                 0.7958,                0.80831,                0.65383,                0.72084,                0.82581,                 1.1623,              0.0098444,              0.0098444,              0.0098444
                     13,                0.70232,                0.69583,                 1.1512,                0.75725,                0.79287,                0.79504,                0.61784,                0.77166,                0.82323,                 1.2083,              0.0098303,              0.0098303,              0.0098303
                     14,                0.67849,                0.67051,                 1.1462,                0.69736,                0.84462,                 0.7912,                0.63251,                0.71451,                0.85472,                 1.1519,              0.0098161,              0.0098161,              0.0098161
                     15,                0.68669,                0.69358,                 1.1352,                0.71311,                0.83514,                0.80489,                0.64352,                0.73265,                0.88456,                 1.1452,               0.009802,               0.009802,               0.009802
                     16,                0.68716,                0.67857,                 1.1309,                0.76184,                0.74565,                0.79827,                0.65198,                0.69806,                0.80472,                 1.1318,              0.0097879,              0.0097879,              0.0097879
                     17,                 0.6682,                0.66976,                 1.1164,                0.71572,                0.85145,                0.81766,                0.66016,                0.69745,                0.74419,                 1.1279,              0.0097737,              0.0097737,              0.0097737
                     18,                0.67426,                0.65539,                 1.1202,                0.75493,                 0.8073,                0.83546,                0.67324,                0.68862,                0.68339,                 1.1142,              0.0097596,              0.0097596,              0.0097596
                     19,                0.65863,                 0.6396,                 1.1063,                0.71918,                0.80416,                0.81203,                0.66276,                0.68426,                0.75604,                 1.1148,              0.0097454,              0.0097454,              0.0097454
                     20,                0.64298,                0.64598,                 1.1099,                0.74244,                0.79227,                0.82465,                0.66958,                0.69428,                0.72785,                 1.1242,              0.0097313,              0.0097313,              0.0097313
                     21,                0.65196,                0.63372,                 1.1006,                0.71071,                0.79368,                0.77924,                0.63283,                0.71234,                0.80066,                 1.1259,              0.0097171,              0.0097171,              0.0097171
                     22,                0.64492,                0.64061,                 1.1043,                0.72661,                0.81461,                0.82535,                0.67127,                0.67392,                0.74429,                  1.108,               0.009703,               0.009703,               0.009703
                     23,                0.63287,                0.61037,                 1.0919,                0.76199,                0.82356,                0.85283,                0.70443,                0.65457,                0.66173,                 1.0963,              0.0096889,              0.0096889,              0.0096889
                     24,                0.61643,                0.61843,                 1.0891,                 0.7563,                0.84143,                0.82561,                0.67761,                0.67072,                0.73694,                  1.112,              0.0096747,              0.0096747,              0.0096747
                     25,                 0.6368,                0.62333,                 1.0927,                0.75016,                0.82499,                0.83623,                0.68343,                0.67711,                0.72198,                 1.1097,              0.0096606,              0.0096606,              0.0096606
                     26,                0.63604,                0.60881,                 1.0928,                0.73046,                0.76691,                0.80933,                0.65452,                 0.7216,                0.86722,                 1.1431,              0.0096464,              0.0096464,              0.0096464
                     27,                0.63514,                 0.6062,                 1.0875,                0.76625,                0.79771,                0.84591,                0.70072,                 0.6489,                0.68844,                 1.0901,              0.0096323,              0.0096323,              0.0096323
                     28,                0.62575,                0.60136,                 1.0854,                0.77964,                0.78623,                0.85162,                0.70569,                0.66202,                0.67171,                 1.0916,              0.0096181,              0.0096181,              0.0096181
                     29,                0.62267,                 0.5951,                 1.0878,                0.74302,                0.82367,                0.84009,                0.69439,                0.66951,                0.68666,                 1.1091,               0.009604,               0.009604,               0.009604
                     30,                0.61141,                0.57044,                 1.0747,                0.72439,                0.77415,                0.78905,                0.65344,                0.66026,                0.76077,                 1.0875,              0.0095899,              0.0095899,              0.0095899
                     31,                0.60911,                0.57888,                 1.0726,                0.76843,                0.81461,                0.84473,                0.69342,                0.66579,                0.66603,                 1.1036,              0.0095757,              0.0095757,              0.0095757
                     32,                0.60515,                0.56215,                 1.0723,                0.77278,                0.85568,                0.86948,                0.72292,                0.63009,                0.61322,                 1.0755,              0.0095616,              0.0095616,              0.0095616
                     33,                0.60407,                0.56051,                 1.0761,                0.75493,                0.82592,                0.83825,                0.69546,                0.63582,                0.66639,                 1.0786,              0.0095474,              0.0095474,              0.0095474
                     34,                0.60415,                0.56746,                 1.0667,                0.77377,                0.82126,                0.84008,                0.69883,                0.64179,                0.65913,                 1.0816,              0.0095333,              0.0095333,              0.0095333
                     35,                0.60584,                0.58289,                 1.0608,                0.78605,                0.73128,                0.81048,                0.67673,                0.65292,                0.79419,                 1.0922,              0.0095191,              0.0095191,              0.0095191
                     36,                0.60203,                0.55253,                 1.0702,                0.74319,                0.79891,                0.84898,                0.71019,                0.63702,                0.65729,                 1.0764,               0.009505,               0.009505,               0.009505
                     37,                0.60486,                0.54688,                 1.0655,                0.77632,                 0.8285,                0.86193,                0.71881,                0.63489,                0.60027,                 1.0843,              0.0094909,              0.0094909,              0.0094909
                     38,                0.59013,                0.53543,                 1.0668,                0.78167,                0.82367,                 0.8581,                0.71253,                0.65586,                0.62248,                 1.0858,              0.0094767,              0.0094767,              0.0094767
                     39,                0.59585,                0.53946,                 1.0722,                0.79756,                0.82428,                0.86282,                0.72328,                0.63148,                0.60221,                 1.0644,              0.0094626,              0.0094626,              0.0094626
