                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3278,                 3.4979,                 3.9922,                0.16583,                0.11232,                0.06101,                0.02194,                 2.9794,                 3.4269,                  3.698,              0.0033133,              0.0033133,              0.0033133
                      2,                   2.22,                 2.3056,                 2.9365,                0.46057,                0.29589,                0.28423,                0.13585,                 1.9343,                 2.3389,                 2.6463,              0.0066372,              0.0066372,              0.0066372
                      3,                 1.6324,                  1.754,                 2.2144,                0.51299,                 0.4843,                0.44494,                0.26593,                 1.5526,                 2.1231,                 2.1956,              0.0099517,              0.0099517,              0.0099517
                      4,                 1.2912,                 1.3969,                 1.7951,                0.48018,                0.62017,                0.51385,                0.34045,                 1.2153,                 2.2007,                 1.8106,              0.0099576,              0.0099576,              0.0099576
                      5,                 1.1142,                 1.1852,                 1.6063,                0.61148,                0.67288,                 0.6396,                0.45553,                 1.0806,                 1.4308,                 1.6197,              0.0099434,              0.0099434,              0.0099434
                      6,                 1.0006,                 1.1021,                 1.4771,                0.61517,                 0.5898,                0.60776,                 0.4423,                 1.0493,                 1.7045,                 1.5619,              0.0099293,              0.0099293,              0.0099293
                      7,                0.94121,                 1.0175,                 1.4235,                0.62263,                0.69445,                0.66279,                0.47986,                 1.0258,                 1.3042,                 1.5358,              0.0099151,              0.0099151,              0.0099151
                      8,                0.91765,                0.95815,                 1.3877,                0.66462,                0.73128,                 0.7169,                0.53764,                0.90491,                 1.0941,                 1.4041,               0.009901,               0.009901,               0.009901
                      9,                0.89386,                0.95123,                 1.3545,                0.65886,                0.76751,                0.72329,                0.54158,                 0.8756,                 1.0118,                 1.3675,              0.0098869,              0.0098869,              0.0098869
                     10,                0.84515,                0.87292,                 1.3199,                0.65838,                0.70048,                0.69112,                0.51936,                 0.8796,                 1.0165,                 1.3648,              0.0098727,              0.0098727,              0.0098727
                     11,                0.83154,                0.88772,                  1.315,                0.60057,                0.77174,                0.70002,                 0.5223,                0.89193,                 1.3469,                 1.3691,              0.0098586,              0.0098586,              0.0098586
                     12,                0.82395,                0.86229,                 1.3009,                0.68961,                0.72179,                0.72173,                0.54434,                0.90744,                 1.0197,                  1.374,              0.0098444,              0.0098444,              0.0098444
                     13,                0.80749,                0.84651,                 1.2913,                0.67826,                 0.7651,                0.73357,                0.56544,                0.85756,                0.96321,                 1.3451,              0.0098303,              0.0098303,              0.0098303
                     14,                0.76987,                0.80504,                 1.2664,                0.70005,                0.75259,                 0.7422,                0.55984,                0.85993,                 1.1031,                 1.3426,              0.0098161,              0.0098161,              0.0098161
                     15,                0.78303,                0.83012,                   1.26,                0.71219,                 0.7029,                0.74414,                0.58209,                0.82837,                0.96466,                 1.2915,               0.009802,               0.009802,               0.009802
                     16,                0.77687,                0.80745,                 1.2492,                0.66868,                0.75664,                  0.744,                0.57378,                0.85035,                 0.9266,                 1.3249,              0.0097879,              0.0097879,              0.0097879
