                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8643,                 4.4615,                 2.7945,                0.07115,                0.02234,                0.00975,                0.00349,                 2.7836,                 3.8883,                 2.6541,              0.0033133,              0.0033133,              0.0033133
                      2,                 1.6461,                 2.1503,                 1.8417,                0.46797,                0.44082,                0.38716,                0.25087,                 1.3866,                  1.986,                 1.6131,              0.0066372,              0.0066372,              0.0066372
                      3,                 1.1904,                 1.4803,                 1.4387,                0.51799,                0.49215,                0.43504,                0.28713,                 1.2917,                 1.8463,                 1.5183,              0.0099517,              0.0099517,              0.0099517
                      4,                 1.0158,                 1.2252,                 1.2924,                0.62721,                0.65399,                0.64461,                0.47388,                0.97071,                 1.5026,                 1.2495,              0.0099576,              0.0099576,              0.0099576
                      5,                 0.9186,                 1.0436,                 1.2254,                0.64066,                0.67611,                0.65983,                 0.4819,                0.96255,                 1.0783,                 1.2311,              0.0099434,              0.0099434,              0.0099434
                      6,                0.85661,                0.99044,                 1.1824,                0.61884,                0.65278,                0.66481,                0.49531,                 0.9159,                 1.1083,                  1.204,              0.0099293,              0.0099293,              0.0099293
                      7,                0.81295,                0.90458,                 1.1574,                0.62324,                0.75543,                0.70311,                 0.5239,                0.86379,                 1.0525,                 1.1367,              0.0099151,              0.0099151,              0.0099151
                      8,                0.80091,                0.86463,                 1.1467,                 0.6962,                0.76268,                0.75891,                0.58624,                0.79186,                0.95512,                  1.099,               0.009901,               0.009901,               0.009901
                      9,                0.78618,                0.84913,                 1.1288,                0.66927,                0.74336,                0.73331,                0.56478,                0.81399,                0.93528,                 1.1089,              0.0098869,              0.0098869,              0.0098869
                     10,                0.75075,                0.78597,                 1.1137,                0.69004,                0.74698,                0.73393,                0.57149,                0.75583,                 0.8659,                 1.0697,              0.0098727,              0.0098727,              0.0098727
                     11,                0.75535,                0.80827,                 1.1101,                0.57727,                0.80374,                0.69411,                0.53477,                0.80818,                 1.1331,                 1.1169,              0.0098586,              0.0098586,              0.0098586
                     12,                0.73547,                0.77243,                 1.0999,                0.70347,                0.75664,                0.77829,                0.62298,                0.75229,                0.81135,                  1.069,              0.0098444,              0.0098444,              0.0098444
                     13,                0.72925,                0.75236,                 1.1006,                0.67527,                0.77597,                0.73463,                0.58104,                0.76715,                 1.0289,                 1.0901,              0.0098303,              0.0098303,              0.0098303
                     14,                0.69003,                0.71951,                 1.0816,                 0.7065,                 0.7806,                0.78311,                 0.6231,                0.74519,                0.80369,                 1.0657,              0.0098161,              0.0098161,              0.0098161
                     15,                0.70821,                0.75044,                 1.0877,                0.72207,                0.80012,                0.80141,                0.63512,                0.73975,                0.83577,                 1.0677,               0.009802,               0.009802,               0.009802
                     16,                0.70502,                0.72754,                 1.0798,                0.71454,                0.78442,                 0.7852,                0.62983,                0.71845,                0.80626,                 1.0649,              0.0097879,              0.0097879,              0.0097879
                     17,                0.68864,                0.71398,                 1.0666,                0.70296,                0.82669,                0.80378,                0.65308,                0.70139,                0.80485,                 1.0257,              0.0097737,              0.0097737,              0.0097737
                     18,                 0.6957,                0.71555,                 1.0697,                0.72434,                 0.7664,                0.78571,                0.63418,                0.70545,                0.82725,                 1.0296,              0.0097596,              0.0097596,              0.0097596
