                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4351,                  4.076,                 2.9242,                0.00287,                0.32367,                0.00231,                0.00069,                 3.4211,                 4.5123,                 2.9191,              0.0033133,              0.0033133,              0.0033133
                      2,                 2.4146,                 3.3434,                 2.3128,                0.30921,                0.26932,                0.22059,                0.10683,                 1.8022,                 3.1894,                 1.7639,              0.0066372,              0.0066372,              0.0066372
                      3,                 1.4039,                 1.9753,                 1.4716,                0.40193,                0.27114,                0.20392,                0.12578,                 1.8951,                 2.6337,                 1.6768,              0.0099517,              0.0099517,              0.0099517
                      4,                 1.0546,                 1.3367,                 1.2026,                0.59728,                0.60386,                0.62087,                  0.447,                0.96383,                  1.865,                 1.1064,              0.0099576,              0.0099576,              0.0099576
                      5,                0.91965,                 1.1032,                 1.1254,                0.61413,                0.65066,                0.64355,                0.48695,                0.88498,                 1.1756,                 1.0566,              0.0099434,              0.0099434,              0.0099434
                      6,                0.84726,                 1.0159,                 1.0827,                0.58801,                0.57729,                0.58913,                0.44079,                0.88335,                 1.3197,                 1.0588,              0.0099293,              0.0099293,              0.0099293
                      7,                0.81133,                0.94248,                 1.0696,                0.65008,                0.75664,                0.72187,                0.55853,                0.80047,                0.99249,                  1.017,              0.0099151,              0.0099151,              0.0099151
                      8,                0.78798,                0.88756,                 1.0533,                0.64717,                0.71196,                0.69261,                0.53546,                0.81318,                 1.0445,                 1.0281,               0.009901,               0.009901,               0.009901
                      9,                 0.7737,                0.87904,                 1.0414,                0.71712,                 0.7657,                 0.7847,                0.61294,                0.75935,                 0.8459,                0.99233,              0.0098869,              0.0098869,              0.0098869
                     10,                0.73873,                0.80298,                 1.0328,                 0.7088,                 0.7337,                0.74539,                0.58758,                0.72959,                0.93036,                0.97952,              0.0098727,              0.0098727,              0.0098727
                     11,                0.73189,                0.81536,                 1.0279,                0.62575,                0.78684,                0.71896,                0.56851,                0.75985,                0.96984,                0.99812,              0.0098586,              0.0098586,              0.0098586
                     12,                0.72586,                0.79013,                 1.0231,                0.70314,                0.75423,                0.75984,                0.61117,                0.73058,                0.91308,                0.98947,              0.0098444,              0.0098444,              0.0098444
                     13,                0.71621,                0.76638,                 1.0263,                0.70524,                0.77007,                0.76361,                0.60622,                0.72718,                0.85585,                0.98427,              0.0098303,              0.0098303,              0.0098303
                     14,                0.67713,                0.73326,                 1.0105,                0.70658,                0.78563,                0.80552,                0.65193,                0.69765,                 0.7794,                0.98014,              0.0098161,              0.0098161,              0.0098161
                     15,                0.68868,                0.75512,                 1.0058,                0.71289,                0.78986,                0.79107,                0.62787,                0.72612,                0.80601,                 0.9859,               0.009802,               0.009802,               0.009802
                     16,                0.68842,                0.74305,                 1.0069,                0.72773,                0.73551,                0.76995,                0.62118,                 0.6956,                0.83085,                0.97755,              0.0097879,              0.0097879,              0.0097879
                     17,                0.68093,                0.72569,                 1.0029,                0.66976,                0.71643,                0.70059,                0.55021,                0.76807,                0.96216,                 1.0114,              0.0097737,              0.0097737,              0.0097737
                     18,                0.67964,                0.71835,                 1.0032,                0.73577,                0.77012,                 0.8051,                 0.6553,                0.68728,                0.78527,                0.97242,              0.0097596,              0.0097596,              0.0097596
                     19,                0.66136,                0.69692,                0.99566,                 0.7198,                 0.7506,                0.76555,                0.61668,                0.69185,                0.88334,                0.97479,              0.0097454,              0.0097454,              0.0097454
                     20,                 0.6433,                  0.706,                0.99417,                0.72565,                0.70894,                0.78895,                0.63308,                0.68821,                0.78919,                0.96952,              0.0097313,              0.0097313,              0.0097313
                     21,                0.65157,                0.67801,                0.98655,                0.75131,                0.81911,                0.82661,                0.67212,                0.67172,                0.71861,                0.96202,              0.0097171,              0.0097171,              0.0097171
                     22,                0.64453,                0.68814,                 0.9896,                0.66901,                0.75725,                0.76736,                0.62291,                0.65903,                0.85287,                0.95699,               0.009703,               0.009703,               0.009703
                     23,                0.63186,                0.65843,                0.98018,                0.70796,                0.80737,                0.81429,                0.67293,                0.65771,                0.75187,                0.96241,              0.0096889,              0.0096889,              0.0096889
                     24,                0.61485,                0.65423,                0.97606,                0.75073,                 0.8002,                0.83251,                0.69841,                0.64209,                  0.713,                0.95288,              0.0096747,              0.0096747,              0.0096747
                     25,                0.63251,                0.65808,                0.98816,                0.74413,                0.80978,                0.83642,                0.68477,                0.65383,                0.70328,                0.95755,              0.0096606,              0.0096606,              0.0096606
                     26,                0.62828,                  0.655,                0.98558,                0.69888,                0.71739,                0.74561,                 0.6115,                0.67328,                0.88858,                0.96607,              0.0096464,              0.0096464,              0.0096464
                     27,                0.63022,                0.64507,                0.97918,                0.75359,                0.80495,                 0.8406,                0.69294,                0.64426,                0.69873,                0.95567,              0.0096323,              0.0096323,              0.0096323
                     28,                0.62512,                0.64681,                0.98576,                0.74255,                0.80133,                0.84327,                0.69124,                0.65983,                0.67645,                0.95382,              0.0096181,              0.0096181,              0.0096181
                     29,                0.61944,                0.64938,                0.97704,                0.77903,                0.78261,                 0.8422,                0.69542,                0.64529,                0.68035,                0.94546,               0.009604,               0.009604,               0.009604
                     30,                0.61487,                0.62447,                0.98012,                0.76929,                0.78744,                0.83678,                0.69624,                0.62994,                0.68798,                0.94427,              0.0095899,              0.0095899,              0.0095899
                     31,                 0.6099,                0.61897,                 0.9733,                0.72705,                0.83158,                0.83734,                0.68908,                0.64183,                0.69288,                0.94849,              0.0095757,              0.0095757,              0.0095757
                     32,                0.60953,                0.61083,                0.97357,                0.75431,                 0.8176,                0.83378,                0.68317,                0.65202,                 0.6912,                0.95683,              0.0095616,              0.0095616,              0.0095616
                     33,                  0.603,                0.61791,                0.97197,                0.75824,                0.77839,                0.83931,                0.69766,                0.63458,                0.69144,                0.95353,              0.0095474,              0.0095474,              0.0095474
                     34,                0.60487,                0.61633,                0.97502,                0.74432,                0.76468,                 0.8098,                0.67946,                0.61313,                0.70776,                0.93836,              0.0095333,              0.0095333,              0.0095333
                     35,                0.60498,                0.61949,                0.96454,                0.76519,                0.82669,                0.84009,                0.69592,                0.63101,                 0.6946,                0.93941,              0.0095191,              0.0095191,              0.0095191
                     36,                0.61078,                 0.6046,                0.97743,                 0.7435,                0.83669,                0.85191,                0.70663,                0.62484,                0.66067,                0.93463,               0.009505,               0.009505,               0.009505
                     37,                0.60281,                0.59462,                0.96981,                0.79601,                 0.7446,                0.85283,                0.71789,                0.61927,                  0.657,                0.93989,              0.0094909,              0.0094909,              0.0094909
                     38,                0.58597,                0.57581,                0.96533,                0.74789,                0.80133,                0.83348,                0.68926,                0.63631,                0.71849,                0.95382,              0.0094767,              0.0094767,              0.0094767
                     39,                0.59566,                0.57905,                0.97355,                 0.7557,                0.80012,                0.84156,                 0.7045,                0.62321,                0.66169,                0.94948,              0.0094626,              0.0094626,              0.0094626
