                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5436,                 4.1106,                 4.1991,                0.00172,                0.19384,                0.00109,                0.00038,                 3.5251,                  4.382,                 4.1788,              0.0033133,              0.0033133,              0.0033133
                      2,                 3.3513,                 3.9095,                 4.0312,                0.00323,                0.04589,                0.00185,                0.00053,                 3.4622,                  12.07,                 4.2052,              0.0066372,              0.0066372,              0.0066372
                      3,                 2.9661,                 3.8207,                 3.5697,                0.00031,                0.03502,                0.00018,                  6e-05,                 3.2681,                 4.4796,                 3.6563,              0.0099517,              0.0099517,              0.0099517
                      4,                 2.7873,                 3.7669,                 3.1364,                0.00055,                0.06159,                0.00063,                0.00019,                 3.4237,                 4.3188,                 3.7525,              0.0099576,              0.0099576,              0.0099576
                      5,                 2.7387,                 3.7414,                 2.9752,                0.00154,                0.17331,                0.00252,                0.00078,                 2.9509,                 4.1705,                 3.2098,              0.0099434,              0.0099434,              0.0099434
                      6,                 2.6827,                 3.7132,                 2.8738,                0.00168,                0.18961,                0.00238,                0.00074,                 2.9412,                 4.1525,                 3.1166,              0.0099293,              0.0099293,              0.0099293
                      7,                 2.6286,                 3.7359,                 2.8443,                0.00118,                0.13345,                0.00073,                0.00025,                  2.925,                 4.2829,                 3.1753,              0.0099151,              0.0099151,              0.0099151
                      8,                 2.5896,                 3.6807,                 2.8002,                 0.0017,                0.18841,                0.00266,                0.00086,                  2.797,                 4.0603,                 3.0571,               0.009901,               0.009901,               0.009901
                      9,                 2.5835,                 3.6711,                 2.7765,                0.00182,                0.20048,                0.00276,                0.00097,                  2.934,                 4.1006,                 3.1133,              0.0098869,              0.0098869,              0.0098869
                     10,                 2.5219,                  3.652,                 2.7679,                 0.0023,                0.25181,                0.00369,                0.00139,                 2.7094,                 4.0183,                 2.9715,              0.0098727,              0.0098727,              0.0098727
                     11,                 2.5572,                 3.6034,                 2.7558,                0.05673,                0.02959,                0.01027,                0.00372,                  2.718,                 3.9939,                 2.9321,              0.0098586,              0.0098586,              0.0098586
                     12,                 2.5234,                 3.5894,                  2.743,                0.01596,                0.09118,                0.00578,                0.00187,                 2.7314,                 4.0062,                 3.0124,              0.0098444,              0.0098444,              0.0098444
                     13,                 2.5211,                  3.577,                 2.7253,                0.05012,                0.04408,                0.00664,                0.00165,                  2.624,                 3.9296,                 2.9159,              0.0098303,              0.0098303,              0.0098303
                     14,                 2.4708,                 3.5859,                 2.7218,                0.04238,                0.01449,                0.00602,                0.00222,                 2.7429,                 3.9693,                 3.0476,              0.0098161,              0.0098161,              0.0098161
                     15,                 2.5205,                 3.5646,                 2.6981,                0.03448,                0.03684,                 0.0056,                  0.002,                 2.7261,                 4.0533,                 2.8659,               0.009802,               0.009802,               0.009802
                     16,                 2.5109,                 3.5393,                  2.691,                0.05402,                0.04046,                0.01199,                0.00391,                 2.6694,                 3.8795,                 2.9334,              0.0097879,              0.0097879,              0.0097879
                     17,                  2.508,                  3.503,                 2.6859,                 0.0719,                0.02355,                0.01152,                0.00447,                 2.6928,                 3.8494,                 2.8979,              0.0097737,              0.0097737,              0.0097737
                     18,                 2.5177,                 3.4793,                 2.6715,                0.04612,                0.02084,                0.01022,                0.00315,                 2.7459,                 3.9123,                 2.8149,              0.0097596,              0.0097596,              0.0097596
                     19,                 2.4885,                 3.4607,                  2.659,                0.05148,                 0.0308,                0.00803,                0.00271,                 2.6292,                 3.8487,                 2.8585,              0.0097454,              0.0097454,              0.0097454
                     20,                 2.4444,                 3.4447,                 2.6582,                0.03087,                0.02717,                0.00685,                0.00179,                 2.6249,                 4.2818,                 3.0042,              0.0097313,              0.0097313,              0.0097313
