                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0189,                 3.1947,                 3.9859,                0.55687,                0.44746,                0.40987,                0.18926,                 2.2664,                 2.8065,                 3.4588,              0.0033133,              0.0033133,              0.0033133
                      2,                 1.7919,                 1.7994,                 2.7001,                0.56086,                  0.625,                0.58227,                  0.341,                  1.536,                 1.7531,                 2.3657,              0.0066372,              0.0066372,              0.0066372
                      3,                 1.3301,                 1.3617,                 1.9701,                0.69116,                0.73611,                0.69121,                0.46115,                 1.1538,                 1.2741,                 1.8147,              0.0099517,              0.0099517,              0.0099517
                      4,                 1.0724,                 1.1147,                  1.589,                0.66329,                0.77355,                0.72993,                0.51532,                 1.0305,                 1.1636,                 1.6074,              0.0099576,              0.0099576,              0.0099576
                      5,                 0.9447,                0.93324,                 1.4374,                0.67975,                0.71618,                0.68591,                0.50833,                0.98838,                 1.1538,                 1.5251,              0.0099434,              0.0099434,              0.0099434
                      6,                0.84272,                0.89477,                 1.3324,                0.66036,                 0.7494,                0.74954,                0.54364,                0.87512,                 1.1597,                 1.3584,              0.0099293,              0.0099293,              0.0099293
                      7,                0.81593,                0.84599,                 1.2978,                0.61186,                0.69626,                0.65598,                0.49409,                0.95917,                  1.126,                 1.4565,              0.0099151,              0.0099151,              0.0099151
                      8,                0.79052,                 0.7946,                 1.2707,                0.66309,                0.79866,                0.76295,                0.60352,                0.77722,                0.91342,                 1.2821,               0.009901,               0.009901,               0.009901
                      9,                0.78759,                0.80254,                 1.2504,                 0.6917,                0.81944,                0.79201,                0.62377,                0.78452,                0.82731,                 1.3015,              0.0098869,              0.0098869,              0.0098869
                     10,                0.75295,                0.76375,                 1.2363,                0.64574,                0.62522,                0.63172,                0.47229,                0.93982,                 1.5647,                 1.4534,              0.0098727,              0.0098727,              0.0098727
                     11,                0.74219,                0.77287,                 1.2319,                0.62081,                0.82848,                0.72676,                0.57139,                0.78291,                0.98054,                 1.2909,              0.0098586,              0.0098586,              0.0098586
                     12,                0.73314,                0.73786,                 1.2153,                0.69787,                0.84665,                0.82035,                0.66652,                 0.7294,                0.76851,                 1.2242,              0.0098444,              0.0098444,              0.0098444
                     13,                 0.7225,                0.73523,                 1.2111,                0.64486,                0.80737,                0.75655,                0.59567,                0.76536,                 1.0234,                 1.2479,              0.0098303,              0.0098303,              0.0098303
                     14,                0.68701,                0.69126,                 1.1919,                0.73273,                0.77597,                0.79284,                0.63887,                0.73117,                0.78336,                 1.2377,              0.0098161,              0.0098161,              0.0098161
                     15,                0.69567,                0.70928,                 1.1879,                0.69261,                 0.6872,                0.70416,                0.54447,                 0.8477,                 1.0402,                 1.3529,               0.009802,               0.009802,               0.009802
