                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1754,                 2.3538,                 1.3605,                0.62213,                0.68357,                0.63465,                0.50058,                 0.7617,                  1.089,                0.99397,              0.0033133,              0.0033133,              0.0033133
                      2,                0.70704,                0.89709,                0.99886,                 0.5924,                0.76993,                0.69044,                 0.5324,                0.78066,                 1.1161,                0.96323,              0.0066372,              0.0066372,              0.0066372
                      3,                0.73373,                 0.8747,                0.99393,                0.59651,                0.68357,                0.62616,                0.47399,                0.88514,                 1.2413,                 1.0595,              0.0099517,              0.0099517,              0.0099517
                      4,                0.76716,                0.90091,                 1.0198,                0.56977,                0.64855,                0.59055,                0.44142,                0.91491,                 1.3398,                 1.0592,              0.0099576,              0.0099576,              0.0099576
                      5,                0.75617,                0.83717,                 1.0232,                0.60255,                0.68961,                0.66554,                0.48474,                0.89956,                 1.1214,                 1.0536,              0.0099434,              0.0099434,              0.0099434
                      6,                0.73699,                0.84978,                 1.0183,                 0.6145,                0.55556,                0.53137,                0.39646,                  1.044,                 1.7035,                 1.1807,              0.0099293,              0.0099293,              0.0099293
                      7,                0.72243,                0.79734,                 1.0111,                0.66499,                0.80556,                0.77754,                0.60686,                0.74698,                0.82127,                0.97738,              0.0099151,              0.0099151,              0.0099151
                      8,                0.71924,                0.75901,                 1.0072,                 0.7067,                0.73611,                 0.7642,                0.61242,                0.74052,                0.96805,                0.97232,               0.009901,               0.009901,               0.009901
                      9,                0.70586,                0.76035,                0.99566,                0.65717,                0.78946,                0.71573,                 0.5608,                0.74302,                 0.9596,                 1.0018,              0.0098869,              0.0098869,              0.0098869
                     10,                0.68554,                0.70533,                0.99717,                 0.7051,                0.62983,                0.67947,                0.53887,                0.70927,                 1.0017,                0.95944,              0.0098727,              0.0098727,              0.0098727
                     11,                0.68449,                0.72557,                0.99724,                0.70625,                0.79891,                0.77763,                0.62589,                0.69182,                 0.8091,                0.94891,              0.0098586,              0.0098586,              0.0098586
                     12,                0.68475,                0.69782,                 0.9924,                0.73894,                 0.7494,                0.77562,                0.61868,                0.74178,                 0.8451,                0.98429,              0.0098444,              0.0098444,              0.0098444
                     13,                 0.6787,                0.68974,                0.99414,                0.75107,                0.78528,                0.81577,                0.65983,                 0.7062,                0.74149,                0.96804,              0.0098303,              0.0098303,              0.0098303
                     14,                0.64907,                0.66295,                 0.9835,                0.75768,                0.81159,                0.81318,                0.65716,                0.68243,                0.73967,                0.95762,              0.0098161,              0.0098161,              0.0098161
                     15,                0.65539,                0.68821,                0.98234,                0.71918,                0.82307,                0.82942,                0.67415,                0.70033,                0.71703,                0.96523,               0.009802,               0.009802,               0.009802
                     16,                0.65981,                0.67044,                0.98691,                0.72177,                0.77657,                0.79634,                0.65234,                0.67838,                 0.7289,                0.95625,              0.0097879,              0.0097879,              0.0097879
                     17,                0.65026,                0.65653,                0.98252,                0.75581,                0.83937,                0.81893,                0.66292,                0.68353,                0.70514,                0.95298,              0.0097737,              0.0097737,              0.0097737
                     18,                0.64692,                0.65749,                0.97939,                0.75079,                 0.8132,                0.84573,                0.69612,                0.64828,                 0.6741,                0.93706,              0.0097596,              0.0097596,              0.0097596
                     19,                0.63407,                0.63852,                0.97112,                0.74758,                0.80616,                0.81798,                0.66428,                0.69464,                0.72579,                0.95269,              0.0097454,              0.0097454,              0.0097454
                     20,                0.61855,                0.63994,                0.97025,                0.67497,                 0.7494,                0.78029,                0.62971,                0.69444,                0.78006,                0.95785,              0.0097313,              0.0097313,              0.0097313
                     21,                0.63365,                0.63453,                 0.9742,                0.74367,                0.76561,                0.81732,                0.67603,                0.67527,                0.70784,                 0.9511,              0.0097171,              0.0097171,              0.0097171
                     22,                0.63516,                0.64208,                 0.9722,                0.74188,                0.81747,                0.84371,                0.70308,                0.63992,                0.69428,                0.93782,               0.009703,               0.009703,               0.009703
                     23,                0.60987,                0.60435,                0.96334,                0.75108,                0.78715,                 0.8295,                0.67397,                0.67294,                0.72422,                0.95161,              0.0096889,              0.0096889,              0.0096889
                     24,                0.60195,                0.61133,                0.96278,                0.77116,                0.81401,                0.82938,                0.69388,                 0.6356,                0.71567,                0.94198,              0.0096747,              0.0096747,              0.0096747
                     25,                0.61959,                  0.614,                 0.9725,                0.76174,                0.80435,                0.85012,                0.69214,                0.65312,                0.68152,                0.94292,              0.0096606,              0.0096606,              0.0096606
                     26,                0.61472,                0.60226,                0.96455,                    0.8,                0.83091,                0.85107,                 0.7026,                0.63509,                0.61198,                0.92814,              0.0096464,              0.0096464,              0.0096464
                     27,                0.61406,                0.59813,                0.95751,                0.78513,                0.80797,                0.86388,                0.71126,                0.63855,                0.64197,                0.93832,              0.0096323,              0.0096323,              0.0096323
                     28,                0.61123,                0.59774,                0.96247,                0.77685,                0.79466,                0.84464,                0.69378,                0.66086,                0.66438,                 0.9477,              0.0096181,              0.0096181,              0.0096181
                     29,                0.60767,                0.59118,                0.96422,                0.78493,                0.77797,                0.83896,                0.70419,                0.63307,                0.66802,                0.93744,               0.009604,               0.009604,               0.009604
                     30,                0.60429,                0.58211,                0.96377,                 0.7313,                0.79216,                0.81866,                0.68371,                0.62946,                0.68175,                0.94288,              0.0095899,              0.0095899,              0.0095899
                     31,                0.59072,                0.56461,                0.95592,                0.76003,                0.82971,                0.84574,                0.70723,                0.65552,                0.64969,                0.95765,              0.0095757,              0.0095757,              0.0095757
                     32,                0.59598,                 0.5691,                0.95579,                0.79388,                0.81402,                0.86484,                0.71947,                0.64149,                0.63537,                0.93898,              0.0095616,              0.0095616,              0.0095616
                     33,                0.59055,                0.56894,                0.95763,                0.75899,                0.80314,                0.86391,                 0.7223,                0.62987,                0.63933,                0.93696,              0.0095474,              0.0095474,              0.0095474
                     34,                0.59754,                 0.5657,                0.95863,                0.73661,                 0.8593,                0.83155,                0.69502,                0.61238,                0.65411,                0.92925,              0.0095333,              0.0095333,              0.0095333
                     35,                0.59283,                0.57634,                0.94951,                0.76983,                 0.8402,                0.85718,                0.71501,                0.62566,                0.63621,                0.93355,              0.0095191,              0.0095191,              0.0095191
                     36,                0.59699,                0.55709,                0.96258,                 0.7737,                0.81824,                0.84864,                0.71607,                0.62229,                0.65623,                0.93579,               0.009505,               0.009505,               0.009505
                     37,                0.58858,                0.55874,                0.95841,                0.78968,                0.80037,                0.87363,                0.73482,                0.62595,                 0.6122,                0.94829,              0.0094909,              0.0094909,              0.0094909
                     38,                0.57955,                 0.5434,                0.95455,                 0.7977,                0.82623,                0.86224,                0.72684,                0.61617,                0.60988,                0.93324,              0.0094767,              0.0094767,              0.0094767
                     39,                0.58768,                0.54338,                 0.9567,                0.74672,                0.81643,                0.83627,                0.70771,                0.62443,                0.66994,                0.93524,              0.0094626,              0.0094626,              0.0094626
                     40,                 0.5914,                0.55453,                0.95655,                0.78817,                 0.7819,                0.84801,                0.70726,                0.60864,                0.66325,                0.93258,              0.0094484,              0.0094484,              0.0094484
                     41,                0.58028,                0.54296,                0.95368,                0.78074,                0.79348,                0.85325,                0.71767,                0.62027,                0.67216,                0.93675,              0.0094343,              0.0094343,              0.0094343
                     42,                0.57714,                0.52796,                0.94332,                0.75029,                0.83461,                0.84831,                0.71321,                0.62857,                0.64446,                0.93771,              0.0094201,              0.0094201,              0.0094201
                     43,                 0.5924,                0.52835,                0.95343,                0.78031,                 0.8279,                0.85536,                0.71996,                0.61954,                0.64252,                0.92864,               0.009406,               0.009406,               0.009406
                     44,                 0.5822,                0.53101,                0.94558,                0.77711,                0.80797,                0.83806,                0.70115,                0.62209,                0.68893,                0.92972,              0.0093919,              0.0093919,              0.0093919
                     45,                0.56911,                0.52301,                0.94292,                0.77895,                0.81763,                0.86737,                0.73662,                0.60645,                0.61669,                0.92681,              0.0093777,              0.0093777,              0.0093777
                     46,                0.56884,                0.52107,                0.94493,                0.76351,                0.80322,                0.85445,                0.72008,                0.61395,                0.64547,                0.92359,              0.0093636,              0.0093636,              0.0093636
                     47,                0.57603,                0.51554,                0.94665,                0.77759,                0.80226,                0.85057,                0.71617,                0.61403,                0.63056,                0.92704,              0.0093494,              0.0093494,              0.0093494
                     48,                0.56377,                0.49951,                0.94123,                0.81256,                0.81676,                0.87019,                0.74238,                 0.6063,                 0.6208,                0.91267,              0.0093353,              0.0093353,              0.0093353
                     49,                0.55207,                0.51874,                0.93292,                0.79929,                0.83394,                0.88212,                0.74423,                0.61615,                0.58654,                0.92927,              0.0093211,              0.0093211,              0.0093211
                     50,                0.57109,                0.52065,                0.94461,                0.74897,                0.85582,                 0.8704,                0.72772,                0.59998,                0.66637,                0.92159,               0.009307,               0.009307,               0.009307
                     51,                0.55119,                0.50708,                0.93494,                0.77865,                0.85145,                 0.8608,                0.72499,                0.62089,                 0.6182,                 0.9323,              0.0092929,              0.0092929,              0.0092929
                     52,                0.56865,                0.50983,                0.94496,                0.76303,                0.85145,                0.87917,                0.74629,                0.60059,                 0.5894,                0.91752,              0.0092787,              0.0092787,              0.0092787
                     53,                0.56965,                0.49807,                0.94505,                0.80678,                0.83709,                0.88741,                0.75116,                0.59926,                0.56038,                0.92385,              0.0092646,              0.0092646,              0.0092646
                     54,                 0.5634,                0.50871,                0.94435,                0.80337,                0.79198,                0.85082,                 0.7219,                0.58954,                0.61056,                 0.9183,              0.0092504,              0.0092504,              0.0092504
                     55,                0.55711,                0.49686,                0.93678,                0.83138,                0.81643,                0.88819,                0.75237,                0.59032,                 0.5735,                0.92006,              0.0092363,              0.0092363,              0.0092363
                     56,                0.55465,                0.49955,                0.94129,                0.80237,                0.78019,                0.86553,                0.73072,                0.60339,                0.61217,                0.91985,              0.0092221,              0.0092221,              0.0092221
                     57,                0.55525,                0.49095,                0.93642,                  0.779,                 0.7814,                0.85635,                0.73235,                 0.6095,                0.63327,                0.92354,               0.009208,               0.009208,               0.009208
                     58,                0.54889,                0.49123,                0.93961,                0.80503,                0.82781,                0.87916,                0.74534,                0.61619,                0.58172,                0.93536,              0.0091939,              0.0091939,              0.0091939
                     59,                0.55428,                0.49384,                0.94324,                0.79102,                0.79087,                0.83898,                0.71005,                0.61363,                0.65336,                 0.9349,              0.0091797,              0.0091797,              0.0091797
                     60,                0.54879,                0.48654,                0.93598,                0.79493,                0.82548,                0.87848,                0.74134,                0.60495,                0.58121,                0.93843,              0.0091656,              0.0091656,              0.0091656
                     61,                0.56193,                0.49164,                0.93802,                0.80534,                0.81944,                0.85919,                0.73211,                0.59818,                0.61774,                0.91502,              0.0091514,              0.0091514,              0.0091514
                     62,                 0.5538,                0.48783,                 0.9369,                0.79888,                0.80435,                0.85702,                0.72937,                0.60192,                0.61051,                0.92757,              0.0091373,              0.0091373,              0.0091373
