                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7978,                 2.8035,                  1.868,                0.52515,                0.32791,                0.30058,                0.21487,                 1.2714,                 2.2734,                 1.2912,              0.0033133,              0.0033133,              0.0033133
                      2,                0.92087,                 1.3056,                 1.1204,                0.53653,                0.59601,                0.56241,                0.41623,                0.91762,                 1.4522,                  1.022,              0.0066372,              0.0066372,              0.0066372
                      3,                0.84538,                 1.0568,                 1.0434,                0.39037,                0.36594,                0.27861,                0.19376,                 1.3365,                 2.3734,                  1.348,              0.0099517,              0.0099517,              0.0099517
                      4,                 0.8553,                 1.0262,                 1.0547,                0.57631,                0.71256,                0.65732,                 0.4979,                0.88507,                 1.2234,                  1.025,              0.0099576,              0.0099576,              0.0099576
                      5,                0.82223,                0.94247,                 1.0437,                0.61279,                  0.657,                0.63787,                0.47901,                0.89693,                 1.1149,                 1.0367,              0.0099434,              0.0099434,              0.0099434
                      6,                0.79852,                0.92935,                 1.0326,                0.70529,                   0.75,                0.75704,                0.58401,                0.79694,                0.90693,                0.98248,              0.0099293,              0.0099293,              0.0099293
                      7,                0.77365,                0.88239,                 1.0201,                0.65516,                0.69753,                0.72206,                0.55279,                0.81448,                0.98235,                0.99052,              0.0099151,              0.0099151,              0.0099151
                      8,                0.76859,                0.84419,                 1.0217,                0.66402,                0.77295,                0.75736,                 0.5985,                0.75662,                0.92843,                0.96104,               0.009901,               0.009901,               0.009901
                      9,                0.75747,                0.84066,                 1.0107,                0.66021,                0.77321,                0.75141,                0.58626,                0.76985,                0.87466,                0.98339,              0.0098869,              0.0098869,              0.0098869
                     10,                0.72903,                0.76209,                 1.0032,                0.69536,                 0.7388,                0.72369,                0.56888,                0.75046,                0.86308,                0.96566,              0.0098727,              0.0098727,              0.0098727
                     11,                0.73522,                0.79529,                 1.0049,                0.70793,                0.77476,                0.79076,                0.62981,                0.72631,                0.78811,                0.95282,              0.0098586,              0.0098586,              0.0098586
                     12,                0.72282,                0.76202,                0.99401,                0.68714,                0.75464,                0.75315,                0.60566,                0.74525,                0.86159,                0.96784,              0.0098444,              0.0098444,              0.0098444
                     13,                 0.7166,                0.75461,                0.99635,                 0.7255,                0.76129,                0.78237,                0.63302,                 0.7158,                0.80032,                0.94552,              0.0098303,              0.0098303,              0.0098303
                     14,                0.68851,                0.71193,                0.98874,                0.70066,                0.80918,                0.78073,                0.61014,                0.71525,                0.81241,                0.95268,              0.0098161,              0.0098161,              0.0098161
                     15,                0.69948,                0.73563,                0.98318,                0.67871,                0.80374,                 0.8046,                0.65138,                0.70382,                0.74161,                0.94514,               0.009802,               0.009802,               0.009802
                     16,                0.69295,                0.72964,                0.98368,                0.71674,                0.74336,                0.79552,                0.64562,                0.68739,                0.73146,                0.93333,              0.0097879,              0.0097879,              0.0097879
                     17,                0.68409,                 0.7233,                0.98313,                0.68582,                0.76329,                0.76562,                0.61638,                0.70375,                0.84009,                0.94846,              0.0097737,              0.0097737,              0.0097737
                     18,                 0.6855,                0.70134,                0.97828,                0.69343,                0.82226,                0.81991,                0.67162,                0.67229,                0.71646,                0.93491,              0.0097596,              0.0097596,              0.0097596
                     19,                0.67287,                0.69545,                0.97431,                0.75952,                0.73068,                0.79753,                 0.6464,                0.70054,                0.76788,                0.93744,              0.0097454,              0.0097454,              0.0097454
                     20,                0.64826,                 0.6815,                0.96981,                0.76078,                0.69082,                 0.8028,                0.63782,                0.69963,                0.74301,                0.93644,              0.0097313,              0.0097313,              0.0097313
                     21,                0.66361,                0.67942,                0.96711,                0.73286,                0.81175,                0.82738,                0.67987,                0.66983,                0.67694,                0.92358,              0.0097171,              0.0097171,              0.0097171
                     22,                0.66245,                 0.6899,                0.96513,                0.71908,                0.80688,                0.82616,                0.68292,                  0.668,                0.70654,                0.92403,               0.009703,               0.009703,               0.009703
                     23,                0.64595,                0.65958,                0.96213,                0.74289,                0.77119,                0.80568,                0.65555,                0.69836,                0.74504,                 0.9373,              0.0096889,              0.0096889,              0.0096889
                     24,                0.63192,                0.65167,                0.95757,                0.72727,                 0.8285,                0.82098,                0.67901,                0.66052,                0.69823,                0.92581,              0.0096747,              0.0096747,              0.0096747
                     25,                0.64626,                0.66713,                 0.9697,                0.74624,                 0.7814,                 0.8213,                  0.669,                0.66441,                0.73825,                0.93038,              0.0096606,              0.0096606,              0.0096606
                     26,                0.64409,                0.64455,                0.96437,                0.73705,                   0.75,                0.82565,                0.67173,                0.66428,                 0.6857,                0.92804,              0.0096464,              0.0096464,              0.0096464
                     27,                0.64197,                0.64071,                0.95696,                0.73153,                0.81611,                0.84341,                0.69366,                0.65226,                0.66949,                0.92178,              0.0096323,              0.0096323,              0.0096323
                     28,                 0.6362,                 0.6381,                0.96252,                0.75859,                0.76993,                0.81612,                0.67472,                 0.6696,                0.69539,                0.93383,              0.0096181,              0.0096181,              0.0096181
                     29,                0.62612,                0.64127,                0.95646,                 0.7766,                0.73973,                 0.8222,                0.67802,                0.66391,                0.67802,                 0.9285,               0.009604,               0.009604,               0.009604
                     30,                0.62522,                0.61748,                0.95854,                0.73564,                0.75451,                0.80307,                0.64584,                0.67292,                0.73363,                0.92988,              0.0095899,              0.0095899,              0.0095899
                     31,                0.61992,                0.61391,                 0.9559,                0.76261,                0.83454,                0.85248,                 0.6941,                0.64789,                0.61868,                0.91929,              0.0095757,              0.0095757,              0.0095757
                     32,                0.62122,                0.60452,                0.95377,                0.77316,                 0.7533,                0.83435,                0.68099,                 0.6609,                0.68031,                0.92187,              0.0095616,              0.0095616,              0.0095616
                     33,                0.61283,                0.60873,                0.94937,                0.75348,                 0.7971,                0.84554,                0.68784,                0.65069,                0.65932,                0.91619,              0.0095474,              0.0095474,              0.0095474
                     34,                0.61949,                0.61094,                0.95005,                0.76146,                0.83213,                0.84627,                0.70266,                0.63295,                0.63409,                0.91594,              0.0095333,              0.0095333,              0.0095333
                     35,                0.61752,                0.61057,                0.94618,                0.75445,                0.83937,                0.84159,                0.69463,                0.64495,                0.63742,                0.91249,              0.0095191,              0.0095191,              0.0095191
                     36,                0.61775,                 0.5971,                0.95366,                0.74486,                0.78978,                0.84109,                0.69361,                0.63676,                0.63393,                0.91482,               0.009505,               0.009505,               0.009505
                     37,                0.61699,                0.58838,                0.94781,                0.74376,                0.82906,                0.83874,                0.70476,                0.62978,                 0.6343,                 0.9115,              0.0094909,              0.0094909,              0.0094909
                     38,                0.60527,                0.57711,                0.94652,                0.76767,                0.80676,                0.84857,                0.71052,                0.63414,                0.62925,                 0.9106,              0.0094767,              0.0094767,              0.0094767
                     39,                0.61236,                0.58581,                  0.953,                0.74521,                0.83213,                0.86276,                0.71944,                0.63024,                0.62392,                0.91268,              0.0094626,              0.0094626,              0.0094626
                     40,                0.61539,                0.58679,                0.95026,                0.77395,                0.80219,                0.85839,                0.71476,                0.62439,                0.61643,                0.90582,              0.0094484,              0.0094484,              0.0094484
                     41,                0.60388,                0.57161,                 0.9428,                0.72755,                0.85304,                0.86015,                0.71229,                0.62606,                0.60284,                0.90768,              0.0094343,              0.0094343,              0.0094343
                     42,                0.59888,                0.57201,                0.93848,                0.77452,                0.78442,                0.85746,                0.71336,                0.62218,                0.61459,                 0.9095,              0.0094201,              0.0094201,              0.0094201
                     43,                0.61041,                0.56426,                0.94702,                 0.8097,                0.76751,                0.85738,                0.71695,                0.63089,                0.62643,                0.90689,               0.009406,               0.009406,               0.009406
                     44,                0.60176,                0.56198,                0.94303,                0.78256,                0.75906,                0.82696,                0.69083,                0.62565,                0.69159,                0.91307,              0.0093919,              0.0093919,              0.0093919
                     45,                  0.591,                0.55982,                0.93948,                0.77476,                0.81643,                0.85314,                 0.7056,                0.62701,                0.63359,                0.91104,              0.0093777,              0.0093777,              0.0093777
                     46,                0.59311,                0.55802,                0.94236,                 0.7653,                0.82504,                0.87147,                0.73011,                0.61463,                0.59525,                0.90166,              0.0093636,              0.0093636,              0.0093636
                     47,                0.59794,                0.55638,                0.94263,                 0.8021,                  0.782,                0.86783,                0.72719,                0.61352,                0.59768,                0.90368,              0.0093494,              0.0093494,              0.0093494
                     48,                0.58945,                0.53775,                0.94095,                 0.8018,                0.78925,                0.86911,                0.72706,                0.61891,                0.61025,                0.90251,              0.0093353,              0.0093353,              0.0093353
                     49,                0.57137,                0.55483,                0.92844,                0.75461,                0.79227,                0.84375,                0.70254,                0.62625,                0.63286,                0.90913,              0.0093211,              0.0093211,              0.0093211
                     50,                0.59155,                 0.5563,                0.93859,                0.75567,                0.79376,                0.84312,                0.70167,                0.61744,                0.66208,                0.90363,               0.009307,               0.009307,               0.009307
                     51,                0.56806,                  0.542,                0.92803,                0.78071,                0.85205,                0.86157,                 0.7169,                0.62352,                0.60171,                 0.9069,              0.0092929,              0.0092929,              0.0092929
                     52,                   0.59,                0.54634,                0.94355,                0.74892,                0.77631,                0.85236,                0.71543,                0.61679,                0.62276,                0.90909,              0.0092787,              0.0092787,              0.0092787
                     53,                0.58653,                0.53579,                0.94017,                0.79679,                0.82729,                  0.865,                0.72983,                0.60366,                0.61933,                0.90105,              0.0092646,              0.0092646,              0.0092646
                     54,                0.57842,                0.54512,                0.93682,                0.78445,                 0.8241,                 0.8646,                0.72698,                0.60604,                0.58781,                0.90309,              0.0092504,              0.0092504,              0.0092504
                     55,                0.57587,                0.53139,                0.92847,                0.79337,                0.81847,                0.87776,                0.73691,                0.60189,                0.58246,                0.89631,              0.0092363,              0.0092363,              0.0092363
                     56,                0.57528,                0.53763,                0.93485,                0.76675,                0.83756,                0.85209,                0.72185,                0.60711,                0.61704,                0.90391,              0.0092221,              0.0092221,              0.0092221
                     57,                0.57351,                0.52089,                0.93636,                0.80471,                0.79891,                0.86848,                0.73571,                0.60991,                0.58575,                0.90797,               0.009208,               0.009208,               0.009208
                     58,                0.56943,                0.52012,                0.92893,                0.77275,                 0.7657,                0.84161,                0.70736,                0.61004,                0.61565,                0.90311,              0.0091939,              0.0091939,              0.0091939
                     59,                0.57561,                0.53087,                0.93148,                0.78054,                0.81944,                0.85629,                0.71544,                 0.6107,                0.59171,                0.89844,              0.0091797,              0.0091797,              0.0091797
                     60,                0.56699,                 0.5236,                0.92697,                 0.7127,                0.79693,                 0.8224,                 0.6909,                0.60302,                0.61904,                0.89999,              0.0091656,              0.0091656,              0.0091656
                     61,                0.58131,                0.53937,                0.92985,                0.79218,                0.82638,                0.86816,                0.72788,                0.61151,                0.60205,                0.90116,              0.0091514,              0.0091514,              0.0091514
                     62,                0.57499,                0.52285,                0.93175,                0.78378,                0.83877,                 0.8642,                 0.7296,                0.60826,                0.58553,                0.90218,              0.0091373,              0.0091373,              0.0091373
                     63,                0.56297,                0.51384,                0.92747,                0.71164,                 0.8271,                0.84029,                0.70705,                0.60568,                0.60413,                0.90058,              0.0091231,              0.0091231,              0.0091231
                     64,                0.58557,                0.52459,                0.93659,                 0.8195,                0.78623,                0.87023,                0.73826,                0.59822,                0.58718,                0.89861,               0.009109,               0.009109,               0.009109
                     65,                0.57013,                0.51582,                0.92685,                 0.7827,                0.83739,                0.88492,                0.74628,                 0.6075,                0.58073,                0.90298,              0.0090949,              0.0090949,              0.0090949
                     66,                0.56549,                0.51598,                0.93302,                0.77954,                0.79891,                0.87117,                0.73628,                0.60324,                0.57581,                0.90169,              0.0090807,              0.0090807,              0.0090807
                     67,                0.56121,                0.50142,                 0.9247,                0.79712,                 0.7808,                0.85912,                0.73351,                 0.6036,                 0.5941,                0.89942,              0.0090666,              0.0090666,              0.0090666
                     68,                0.56285,                 0.5174,                 0.9261,                0.81261,                0.80393,                0.87191,                0.73889,                0.60498,                0.58406,                0.90403,              0.0090524,              0.0090524,              0.0090524
                     69,                0.57203,                 0.5155,                0.93478,                0.78368,                 0.8029,                 0.8552,                0.72492,                0.60085,                 0.5983,                0.90498,              0.0090383,              0.0090383,              0.0090383
                     70,                0.56296,                0.50187,                0.92694,                0.79425,                0.77624,                0.85547,                0.72416,                0.60267,                0.60494,                0.90121,              0.0090241,              0.0090241,              0.0090241
                     71,                0.56743,                0.50734,                0.93241,                0.78899,                0.85145,                0.87875,                0.73987,                0.60699,                0.58077,                0.90192,                0.00901,                0.00901,                0.00901
                     72,                0.56223,                0.50189,                0.92785,                0.82545,                0.81387,                0.88861,                0.75179,                0.59045,                0.55843,                0.89431,              0.0089959,              0.0089959,              0.0089959
