                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4064,                 4.0997,                  2.936,                 0.0016,                0.17935,                0.00302,                0.00102,                 3.2229,                 4.0061,                 2.9686,              0.0033133,              0.0033133,              0.0033133
                      2,                  3.193,                 3.7724,                 2.6683,                 0.0017,                0.19143,                 0.0013,                0.00045,                 3.3533,                 4.7842,                 3.2301,              0.0066372,              0.0066372,              0.0066372
                      3,                 3.0004,                 3.7894,                 2.5939,                0.00197,                0.18418,                0.00383,                0.00097,                 3.2137,                  4.218,                 2.9522,              0.0099517,              0.0099517,              0.0099517
                      4,                 2.8992,                 3.8103,                 2.5711,                 0.0019,                0.21377,                0.00378,                0.00112,                 3.2614,                 4.1928,                 3.0529,              0.0099576,              0.0099576,              0.0099576
                      5,                 2.8083,                   3.79,                 2.5348,                0.00198,                0.20954,                0.00193,                0.00059,                 3.3342,                 4.0435,                  3.152,              0.0099434,              0.0099434,              0.0099434
                      6,                 2.7718,                 3.7322,                 2.5115,                0.00246,                 0.2651,                0.00626,                0.00195,                 3.1075,                 3.9339,                 2.8272,              0.0099293,              0.0099293,              0.0099293
                      7,                 2.7386,                 3.6473,                 2.4506,                0.02209,                0.11534,                0.01095,                0.00355,                 2.9836,                 3.9281,                 2.7373,              0.0099151,              0.0099151,              0.0099151
                      8,                 2.6924,                 3.5878,                 2.4259,                0.00774,                0.21558,                0.00818,                0.00251,                 3.0187,                 3.9222,                  2.865,               0.009901,               0.009901,               0.009901
                      9,                 2.7134,                 3.6427,                 2.3983,                0.04946,                0.03442,                0.00918,                0.00349,                 2.9265,                 3.7436,                 2.6066,              0.0098869,              0.0098869,              0.0098869
                     10,                 2.6495,                 3.4615,                 2.3169,                0.05677,                 0.0471,                0.01293,                0.00471,                 2.9394,                 3.7207,                 2.5365,              0.0098727,              0.0098727,              0.0098727
                     11,                 2.5993,                 3.3984,                 2.2971,                0.05466,                 0.0622,                0.01456,                0.00519,                 2.7872,                 3.6377,                 2.4584,              0.0098586,              0.0098586,              0.0098586
                     12,                 2.5871,                 3.3241,                 2.2448,                0.05228,                0.04106,                0.01779,                0.00598,                 2.8448,                 3.6389,                 2.4287,              0.0098444,              0.0098444,              0.0098444
                     13,                 2.5214,                 3.2495,                 2.1808,                 0.0815,                0.13768,                0.02942,                0.01027,                 2.9051,                 3.6217,                 2.4822,              0.0098303,              0.0098303,              0.0098303
                     14,                 2.4717,                 3.1614,                  2.153,                0.07842,                 0.0936,                0.02983,                0.01056,                 2.7722,                 3.4435,                 2.3653,              0.0098161,              0.0098161,              0.0098161
                     15,                 2.4828,                 3.0983,                 2.1006,                0.04721,                0.02536,                0.00846,                0.00266,                 2.9981,                 3.9953,                  2.522,               0.009802,               0.009802,               0.009802
                     16,                 2.4267,                  2.944,                 2.0436,                0.12122,                0.10887,                0.06059,                0.02487,                  2.757,                 3.3315,                 2.2635,              0.0097879,              0.0097879,              0.0097879
                     17,                 2.3508,                 2.7561,                 1.9565,                0.19265,                 0.1558,                0.10588,                0.04186,                 2.5495,                 3.0432,                 2.1092,              0.0097737,              0.0097737,              0.0097737
                     18,                 2.2766,                 2.6299,                 1.9135,                0.22786,                0.17935,                0.12327,                0.05258,                 2.4974,                 2.9735,                 2.0675,              0.0097596,              0.0097596,              0.0097596
                     19,                 2.1713,                 2.5078,                 1.8347,                0.21718,                0.23128,                0.13208,                 0.0626,                 2.3056,                 2.8813,                 1.8962,              0.0097454,              0.0097454,              0.0097454
                     20,                 2.0443,                 2.3125,                 1.7625,                0.28366,                0.21739,                0.16686,                0.07927,                  2.287,                 2.6563,                 1.8709,              0.0097313,              0.0097313,              0.0097313
                     21,                 2.0285,                  2.274,                 1.7295,                0.35149,                0.25005,                0.22088,                0.10764,                 2.1725,                 2.4984,                 1.7784,              0.0097171,              0.0097171,              0.0097171
                     22,                 1.9227,                 2.1446,                 1.6628,                0.40788,                0.32307,                0.28558,                0.14328,                 2.0206,                 2.2942,                 1.6634,               0.009703,               0.009703,               0.009703
                     23,                 1.8038,                 1.9932,                 1.5761,                0.47918,                0.33575,                0.32661,                0.17765,                 1.8677,                 2.0836,                 1.5959,              0.0096889,              0.0096889,              0.0096889
                     24,                 1.6904,                 1.8807,                 1.5156,                0.45195,                 0.3907,                0.34525,                0.19174,                   1.79,                 2.0949,                 1.5432,              0.0096747,              0.0096747,              0.0096747
                     25,                 1.6101,                 1.7937,                 1.4648,                0.49468,                0.40399,                0.39308,                0.23923,                 1.6423,                 1.8897,                 1.4484,              0.0096606,              0.0096606,              0.0096606
