                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8701,                 3.5919,                 2.6765,                0.42377,                0.19143,                0.17671,                  0.084,                 2.2084,                 2.8323,                 2.2743,              0.0033133,              0.0033133,              0.0033133
                      2,                 1.6999,                 2.1531,                 1.7785,                 0.4469,                0.38829,                0.31323,                0.19254,                 1.5649,                 2.2612,                 1.7474,              0.0066372,              0.0066372,              0.0066372
                      3,                 1.2974,                 1.6893,                 1.4163,                0.48857,                0.43438,                 0.4003,                0.28063,                 1.2883,                 2.4377,                 1.3905,              0.0099517,              0.0099517,              0.0099517
                      4,                 1.1261,                 1.3893,                 1.2735,                0.56709,                 0.6244,                0.57482,                0.38704,                 1.0894,                  1.859,                  1.229,              0.0099576,              0.0099576,              0.0099576
                      5,                 1.0069,                 1.1779,                 1.1927,                0.61024,                0.67271,                0.64401,                0.47561,                0.96603,                 1.2638,                 1.1403,              0.0099434,              0.0099434,              0.0099434
                      6,                 0.9258,                 1.0871,                 1.1382,                0.63189,                0.68599,                 0.6601,                0.50149,                0.91318,                 1.3827,                 1.1011,              0.0099293,              0.0099293,              0.0099293
                      7,                0.88686,                 1.0191,                 1.1169,                0.63847,                0.70954,                0.69106,                0.52284,                0.88472,                 1.1877,                 1.0806,              0.0099151,              0.0099151,              0.0099151
                      8,                0.86036,                0.95259,                 1.1038,                 0.6477,                0.71718,                0.70566,                0.53233,                0.84968,                 1.0842,                 1.0674,               0.009901,               0.009901,               0.009901
                      9,                0.84225,                0.93931,                 1.0903,                0.67148,                0.72886,                0.72112,                0.54594,                0.83869,                0.99336,                   1.05,              0.0098869,              0.0098869,              0.0098869
                     10,                0.80364,                0.85059,                 1.0766,                0.66269,                0.69928,                0.67118,                0.51765,                0.82507,                 1.0764,                 1.0461,              0.0098727,              0.0098727,              0.0098727
                     11,                0.79565,                0.87494,                 1.0701,                0.68299,                0.74879,                0.75745,                0.58568,                 0.7913,                0.91229,                 1.0303,              0.0098586,              0.0098586,              0.0098586
                     12,                0.78263,                0.83022,                 1.0579,                0.65956,                 0.7343,                  0.731,                 0.5688,                0.80124,                0.97419,                 1.0381,              0.0098444,              0.0098444,              0.0098444
                     13,                0.77137,                0.81953,                 1.0571,                0.68204,                0.79663,                0.76565,                 0.5997,                0.76902,                0.95624,                 1.0223,              0.0098303,              0.0098303,              0.0098303
                     14,                0.73626,                0.78253,                 1.0472,                0.69209,                0.73732,                0.75871,                0.58581,                0.77399,                0.88721,                  1.027,              0.0098161,              0.0098161,              0.0098161
                     15,                0.75072,                0.81659,                 1.0424,                0.69574,                0.78019,                0.77518,                 0.6029,                0.78489,                0.88756,                 1.0096,               0.009802,               0.009802,               0.009802
