                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9653,                 3.5513,                 2.7309,                0.22591,                 0.0314,                0.03896,                0.01489,                 2.4987,                 3.4507,                 2.5519,              0.0033133,              0.0033133,              0.0033133
                      2,                 1.7081,                 2.1757,                 1.7967,                0.43733,                0.35809,                0.28092,                0.16576,                 1.8074,                  2.436,                 1.9415,              0.0066372,              0.0066372,              0.0066372
                      3,                  1.285,                 1.6366,                 1.4147,                0.52481,                0.49486,                0.46099,                0.29821,                 1.3858,                  2.251,                 1.4467,              0.0099517,              0.0099517,              0.0099517
                      4,                 1.1592,                 1.4009,                 1.2881,                0.53537,                0.59601,                0.53894,                0.35245,                 1.1628,                  2.672,                 1.2767,              0.0099576,              0.0099576,              0.0099576
                      5,                 1.0426,                 1.2103,                 1.2144,                0.60058,                0.58514,                0.58494,                0.42783,                 1.0261,                   1.42,                 1.1451,              0.0099434,              0.0099434,              0.0099434
                      6,                0.96756,                 1.1197,                 1.1623,                0.60782,                0.60177,                0.64737,                0.47011,                0.99249,                 1.5207,                 1.1445,              0.0099293,              0.0099293,              0.0099293
                      7,                0.92453,                 1.0456,                 1.1353,                0.68178,                0.65882,                0.70686,                0.52261,                0.91614,                 1.1768,                 1.1013,              0.0099151,              0.0099151,              0.0099151
                      8,                0.89762,                0.97413,                  1.117,                0.66904,                0.73068,                0.74284,                0.56067,                0.87732,                 1.1469,                 1.0797,               0.009901,               0.009901,               0.009901
                      9,                0.88286,                0.97131,                 1.1019,                0.65693,                0.77899,                0.74806,                0.55876,                0.84862,                0.99747,                 1.0478,              0.0098869,              0.0098869,              0.0098869
                     10,                0.83986,                0.87676,                 1.0904,                0.69967,                0.64251,                0.68235,                0.52054,                0.86247,                 1.1497,                  1.056,              0.0098727,              0.0098727,              0.0098727
                     11,                0.83034,                0.89869,                 1.0827,                0.69847,                0.77355,                0.78477,                0.59322,                0.84088,                 0.9312,                 1.0361,              0.0098586,              0.0098586,              0.0098586
                     12,                0.81597,                0.84978,                 1.0696,                0.68155,                0.71729,                0.73731,                0.57423,                0.81449,                0.94617,                 1.0328,              0.0098444,              0.0098444,              0.0098444
                     13,                0.80946,                0.83983,                 1.0714,                0.70697,                0.76147,                 0.7621,                0.59248,                0.79078,                 0.9707,                 1.0219,              0.0098303,              0.0098303,              0.0098303
                     14,                0.77013,                0.80277,                 1.0544,                0.71821,                0.71415,                0.75891,                0.58864,                0.79997,                 1.0271,                 1.0316,              0.0098161,              0.0098161,              0.0098161
                     15,                0.78031,                0.82983,                 1.0525,                0.69119,                0.77717,                0.77163,                0.58841,                0.82039,                0.87027,                 1.0328,               0.009802,               0.009802,               0.009802
                     16,                0.77432,                0.82408,                 1.0522,                0.67946,                0.72705,                0.75131,                 0.5894,                0.78531,                0.90117,                 1.0234,              0.0097879,              0.0097879,              0.0097879
                     17,                0.75937,                0.78755,                 1.0434,                0.69641,                0.77434,                0.78334,                0.61406,                0.76678,                0.94976,                0.99892,              0.0097737,              0.0097737,              0.0097737
                     18,                0.76495,                0.78496,                 1.0436,                0.70626,                0.81763,                0.81941,                0.64276,                0.74528,                0.79227,                0.99607,              0.0097596,              0.0097596,              0.0097596
                     19,                0.73975,                0.76671,                 1.0287,                0.70167,                0.73188,                0.75597,                 0.6003,                0.74701,                0.98385,                0.99315,              0.0097454,              0.0097454,              0.0097454
                     20,                0.72602,                0.76635,                 1.0331,                0.69935,                0.76555,                0.78699,                0.61309,                0.76254,                0.82636,                 1.0047,              0.0097313,              0.0097313,              0.0097313
