                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9597,                 3.0471,                 3.8131,                0.46162,                0.22947,                 0.2746,                0.12848,                 2.2464,                 2.6892,                 3.3068,              0.0033133,              0.0033133,              0.0033133
                      2,                 1.6372,                 1.6265,                 2.3804,                0.54519,                0.59843,                0.51442,                0.31097,                 1.4056,                 1.8244,                 2.0962,              0.0066372,              0.0066372,              0.0066372
                      3,                 1.2073,                 1.2186,                 1.7475,                0.62553,                 0.6878,                0.66272,                0.45173,                  1.098,                 1.2963,                 1.6479,              0.0099517,              0.0099517,              0.0099517
                      4,                 1.0258,                 1.0657,                 1.4872,                0.59834,                0.71424,                0.64838,                0.44946,                 1.0984,                  1.297,                 1.6588,              0.0099576,              0.0099576,              0.0099576
                      5,                0.92945,                0.96222,                 1.3918,                0.61185,                0.77778,                0.70597,                0.53004,                0.91063,                 1.1485,                 1.4208,              0.0099434,              0.0099434,              0.0099434
                      6,                0.84991,                0.93835,                 1.3197,                0.65009,                0.69782,                0.72078,                0.51691,                 0.9322,                 1.0391,                 1.3856,              0.0099293,              0.0099293,              0.0099293
                      7,                0.81364,                0.87548,                 1.2809,                0.64438,                0.80314,                0.74687,                0.58494,                0.79484,                0.91142,                  1.295,              0.0099151,              0.0099151,              0.0099151
                      8,                0.80298,                0.82477,                 1.2656,                 0.7203,                0.78986,                0.77438,                0.59023,                0.81687,                0.92429,                 1.2973,               0.009901,               0.009901,               0.009901
                      9,                0.79176,                0.84054,                 1.2466,                0.63616,                0.70169,                0.66921,                0.49368,                0.93621,                 1.1755,                 1.4366,              0.0098869,              0.0098869,              0.0098869
                     10,                0.75529,                0.78541,                 1.2268,                0.73049,                0.75181,                0.76894,                 0.6129,                0.76187,                0.86157,                 1.2269,              0.0098727,              0.0098727,              0.0098727
                     11,                0.74689,                0.78023,                 1.2237,                0.63412,                0.83333,                 0.7426,                0.58639,                0.76286,                 1.0785,                 1.2534,              0.0098586,              0.0098586,              0.0098586
                     12,                0.73183,                0.74959,                 1.2038,                0.69209,                0.78182,                0.77732,                0.62244,                0.74957,                0.86416,                 1.2121,              0.0098444,              0.0098444,              0.0098444
                     13,                0.72208,                0.74727,                 1.2007,                0.70733,                0.80706,                0.79997,                0.62846,                 0.7581,                0.83665,                 1.2291,              0.0098303,              0.0098303,              0.0098303
                     14,                0.69222,                0.70933,                 1.1796,                0.71874,                0.79167,                0.80001,                0.64141,                0.73081,                0.81076,                 1.2075,              0.0098161,              0.0098161,              0.0098161
                     15,                0.70475,                0.73515,                 1.1795,                0.72274,                0.77717,                0.79795,                0.63199,                0.74571,                0.84433,                 1.2058,               0.009802,               0.009802,               0.009802
